"location_id"	"sample_code_prefix"	"location_primary_lab"	"location_status"	"location_common_name"	"location_category"	"location_group"	"location_lng"	"location_lat"	"location_primary_wwtp_id"	"location_counties_served"	"location_population_served"	"location_sampler_type"	"location_collection_window_hrs"	"location_collection_pull_ml"	"location_collection_step_min"	"location_collection_basis"	"location_collection_type"	"location_zipcode"	"location_comment"
"CSB"	NA	"MUIDSL"	"active"	"Charleston"	"wwtp"	"non-sentinel"	-81.6795542342985	38.3737355334849	"CharlestonSanitaryBoardWWTP"	"Kanawha"	49500	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	25387	NA
"DUN"	NA	"MUIDSL"	"active"	"Dunbar"	"wwtp"	"non-sentinel"	-81.758709180509	38.368519014597	"DunbarWWTP"	"Kanawha"	9000	"Facility hardware"	24	25	20	"time"	"raw wastewater"	25064	NA
"HSB"	NA	"MUIDSL"	"active"	"Huntington"	"wwtp"	"non-sentinel"	-82.5288640349052	38.4007449310171	"HuntingtonSanitaryBoardWWTP"	"Wayne"	56000	"Facility hardware"	24	25	20	"time"	"raw wastewater"	25704	NA
"PRPSD"	NA	"MUIDSL"	"active"	"Pea Ridge"	"wwtp"	"non-sentinel"	-82.2982092548578	38.4196619081391	"PeaRidgeWWTP-A"	"Cabell"	7000	"MU HACH"	24	25	20	"time"	"raw wastewater"	25705	NA
"PUT"	NA	"MUIDSL"	"active"	"Hometown-Putnam"	"wwtp"	"non-sentinel"	-81.8671187968227	38.5379013175494	"PutnamPSD"	"Putnam"	4900	"Facility hardware"	48	333	1440	"time"	"raw wastewater"	25168	NA
"SRCM"	NA	"MUIDSL"	"active"	"SaltRock WWTP: Milton and Culloden"	"wwtp"	"non-sentinel"	-82.105145	38.425437	"SaltRockWWTP-A"	"Cabell"	7200	"Facility hardware"	24	25	20	"time"	"raw wastewater"	25541	"12\" and 20\" pipe allow ona (12\") and milton (20\") to be separated"
"SRO"	NA	"MUIDSL"	"active"	"SaltRock WWTP: Ona and SaltRock"	"wwtp"	"non-sentinel"	-82.2448777512688	38.372162360135	"SaltRockWWTP-B"	"Cabell"	4050	"Facility hardware"	24	25	20	"time"	"raw wastewater"	25545	"12\" and 20\" pipe allow ona (12\") and milton (20\") to be separated"
"WestUnionWWTP-01"	"K01"	"ZooWVU"	"active"	"West Union"	"wwtp"	"non-sentinel"	-80.77899	39.29906	"WestUnionWWTP"	"Doddridge"	564	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	26456	NA
"FarmingtonWWTP-01"	"M04"	"ZooWVU"	"active"	"Farmington"	"wwtp"	"non-sentinel"	-80.24933	39.51181	"FarmingtonWWTP"	"Marion"	610	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	26571	NA
"AlpineLakeWWTP-01"	"J01"	"ZooWVU"	"active"	"Alpine Lake"	"wwtp"	"non-sentinel"	-79.50179	39.45709	"AlpineLakeWWTP"	"Preston"	700	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	26764	NA
"ManningtonWWTP-01"	"M03"	"ZooWVU"	"active"	"Mannington"	"wwtp"	"non-sentinel"	-80.32371	39.51814	"ManningtonWWTP"	"Marion"	1091	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	26582	NA
"SalemWWTP-01"	"N03"	"ZooWVU"	"inactive"	"Salem"	"wwtp"	"non-sentinel"	-80.54515	39.28597	"SalemWWTP"	"Harrison"	1853	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	26426	NA
"CheatLakeWWTP-01"	"A04"	"ZooWVU"	"active"	"Cheat Lake"	"wwtp"	"non-sentinel"	-79.857	39.67712	"CheatLakeWWTP"	"Monongalia"	2000	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	26508	NA
"WhiteOakWWTP-01"	"U01"	"ZooWVU"	"active"	"White Oak"	"wwtp"	"non-sentinel"	-81.1650055	37.9467707	"WhiteOakWWTP"	"Fayette"	2626	"WVU ISCO"	24	25	30	"time"	"raw wastewater"	25917	NA
"MadisonWWTP-01"	"Q01"	"ZooWVU"	"active"	"Danville"	"wwtp"	"non-sentinel"	-81.8472888	38.102484	"MadisonWWTP"	"Boone"	4555	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	25053	NA
"HuttonsvilleWWTP-01"	"R01"	"ZooWVU"	"withdrawn"	"Huttonsville"	"wwtp"	"non-sentinel"	-79.97895	38.71288	"HuttonsvilleWWTP"	"Randolph"	2101	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	26273	NA
"PointPleasantWWTP-01"	"T01"	"ZooWVU"	"active"	"Point Pleasant"	"wwtp"	"non-sentinel"	-82.1351148	38.8567084	"PointPleasantWWTP"	"Mason"	5515	"WVU ISCO"	24	25	20	"time"	"raw wastewater"	25550	NA
"GraftonWWTP-01"	"O01"	"ZooWVU"	"active"	"Grafton"	"wwtp"	"non-sentinel"	-80.01837	39.33877	"GraftonWWTP"	"Taylor"	6071	"Facility hardware"	24	NA	NA	"flow"	"raw wastewater"	26354	NA
